level_number,card_type,count
1,numbers,55
2,numbers,238
3,letters,78
4,letters,56
4,numbers,49
5,shapes,11
6,directions,17
7,colors,80
8,directions,12
8,numbers,7
8,shapes,12
9,colors,9
9,letters,10
9,numbers,9
10,directions,1
10,letters,11
10,numbers,4
10,shapes,8
11,numbers,57
12,numbers,16
13,numbers,20
14,colors,4
14,directions,2
14,letters,1
14,numbers,31
14,shapes,9
15,letters,5
15,shapes,8
16,numbers,38
17,letters,7
17,numbers,7
17,shapes,8
18,directions,2
18,letters,2
18,numbers,1
19,directions,2
19,shapes,1
20,colors,3
20,directions,3
20,letters,2
20,numbers,2
20,shapes,2
21,colors,3
21,directions,6
22,colors,25
23,colors,5
24,colors,45
25,colors,14
26,colors,7
26,directions,7
26,letters,6
26,numbers,12
26,shapes,7
27,diagonal,11
28,diagonal,8
28,directions,7
29,diagonal,2
29,letters,3
29,numbers,1
31,colors,5
31,letters,3
31,numbers,1
32,colors,2
32,letters,1
35,colors,1
36,colors,11
38,letters,5
40,numbers,2
41,diagonal,1
43,directions,1
45,directions,1
50,numbers,2
53,numbers,1
55,diagonal,2
56,colors,1
64,numbers,2
72,letters,1
77,numbers,1
88,directions,1
90,numbers,2
97,letters,2
234,diagonal,1
234,letters,2
234,numbers,1
