player_id_norm,adaptive_group,group_assigned_ts,sessions_after_assignment,returned_within_1d,returned_within_3d,returned_within_7d
834b3d23-7f62-46f6-8fb0-3d257225cecb,B,2026-03-04 01:21:44.972000+00:00,0,False,False,False
3deb0762-2c72-4f4f-b2d9-8f91f4b9c4c4,A,2026-03-06 01:56:01.954000+00:00,3,False,True,True
1baa6b31-4819-4fe1-91a7-3bf8e145de7f,B,2026-03-03 21:29:27.333000+00:00,4,True,True,True
db270b62-178f-47c4-8cfa-3ac38d7e7e40,B,2026-03-03 23:01:41.573000+00:00,1,True,True,True
4282b745-8061-42c3-b298-1648bbdddb98,B,2026-03-03 23:22:40.062000+00:00,0,False,False,False
8333f2c0-3b3e-4c22-a667-00377e0ae75e,B,2026-03-04 00:40:09.816000+00:00,0,False,False,False
19e62b5e-8283-42c0-ad54-9f0cd265e162,A,2026-03-04 04:40:07.622000+00:00,0,False,False,False
ba4c0a5f-4ef1-4b4b-96f3-f1b58e87f012,B,2026-03-04 05:45:29.619000+00:00,0,False,False,False
4d159bde-fd10-4e61-b657-1a2d922fcbe7,B,2026-03-04 07:25:22.939000+00:00,0,False,False,False
9105869e-58af-4d91-af6d-97a978f6d17b,B,2026-03-04 06:44:33.210000+00:00,0,False,False,False
6bb15770-3531-4cfe-b65c-b0c493889dae,B,2026-03-04 06:52:24.875000+00:00,0,False,False,False
57a0af4c-4fdd-47c6-8f47-1e04d3c6e529,B,2026-03-04 06:55:03.872000+00:00,0,False,False,False
9f12f2ac-4cce-455d-babc-9f27ea32b2a4,B,2026-03-04 07:04:36.332000+00:00,0,False,False,False
9063bee5-dc83-472a-9fcd-af464d8e558e,B,2026-03-04 07:58:00.991000+00:00,0,False,False,False
941197e5-d02e-4e95-8b4b-ee0663cb938b,A,2026-03-04 11:16:53.372000+00:00,0,False,False,False
173ce1d1-4772-4219-aad3-3d7fb45b0a8e,B,2026-03-04 18:34:41.390000+00:00,0,False,False,False
8d7144a3-ed21-4813-a713-b3a87b6db744,B,2026-03-04 19:12:18.856000+00:00,0,False,False,False
11f69d93-6099-455f-abfd-a99ca742b59f,B,2026-03-04 19:21:32.499000+00:00,0,False,False,False
2c1abc5d-3e89-4da2-aacf-f07dd8c6a514,A,2026-03-05 03:04:20.314000+00:00,0,False,False,False
cfc8ae67-c748-498d-bb20-d4345b6f8893,B,2026-03-05 10:46:43.282000+00:00,0,False,False,False
a1f59de7-3528-441f-a18c-897c68681894,B,2026-03-05 20:48:39.178000+00:00,0,False,False,False
c3942ac4-c075-4a2d-b9f0-31f146a94d55,B,2026-03-05 21:32:49.647000+00:00,0,False,False,False
ea76136b-fccd-4151-a1b4-b3aa54f70c28,B,2026-03-08 07:54:13.048000+00:00,0,False,False,False
