player_id_norm,retention_seconds,adaptive_retention_group
0393fd48-ed38-46f1-98d9-11dada5b0e7a,478.24,B
086c11a1-5d07-48ea-aa10-4cb3c0cafa9f,86.22,B
1780c605-adb4-43a5-bd20-09e38f9e8d00,35.0,B
1aceb40d-edcf-4ded-8dc0-fee502af882c,36.85,B
1baa6b31-4819-4fe1-91a7-3bf8e145de7f,9.55,unassigned
1c69ac44-4198-4390-9ad7-b4c25014353f,96.63,B
1dfe3fd8-bace-46ba-8c70-7309282d85ff,249.15,B
22594ae3-35a3-4692-9328-27d50982031b,58.55,B
28acdfc0-45f5-4b9e-9c1b-23f8d7560fa4,16.68,unassigned
338f8821-bbc8-4531-a5b7-75a4dc18d9e3,38.47,unassigned
352a8268-a8ee-4c38-92ac-32bec536ff8a,55.0,A
36235b28-31dc-43c5-9c24-83f8c17a3811,36.59,B
38ba9e91-153e-45fd-b335-956d21d5ffa5,124.0,B
3deb0762-2c72-4f4f-b2d9-8f91f4b9c4c4,37.089999999999996,B
5a4af9e6-c4da-458b-89a1-688feebd76ea,89.78,B
5c0b72fd-dd81-4b9e-b360-d68f2dfa2870,170.68,B
5e9eb531-3011-4e5d-aa5d-55b916faafd9,204.5,B
5f71ed49-bef7-4c9f-950a-1a88171361cd,177.36,A
6110fd9b-67ab-41e3-b0f6-55d9db289f7d,253.5,B
65ebc39b-011b-451c-8f70-27305aa98815,2.61,B
6c76a9db-f2f7-4a60-8719-9aa24ecb28eb,96.19,A
6ee16ed1-079a-4285-824a-0829afc0eb67,62.99,A
76fed8b0-f24a-436a-8162-e0feff0decb9,9.95,B
7a6d05e3-b79d-413f-ba8e-04c9123dc9a0,42.31,A
7b41b0fc-1e8d-4bd5-a320-f6fe82978629,1213.43,B
7d3e3a17-cea4-4c59-b3fe-15150b0f34f0,64.16,B
7fd064f6-8900-4f27-948b-f08e9ea412cb,28.28,B
8185cb13-fc23-4d12-a05b-0e1738a3052f,150.68,A
832bf59e-5979-4694-886e-4774aac96f66,35.0,B
83ab28df-6ec3-4b44-a370-7c64503b438e,23.73,unassigned
8d0708ab-5820-4fa8-b7a1-8234014ae672,41.86,A
905cfd91-aca1-4150-8646-13f102a3eb5e,84.31,A
92ea7745-0461-4a3c-8a8a-14b7f8173389,36.0,B
93b9a76c-166b-4d8d-95d8-77b69861cf45,7.42,unassigned
964598fc-9f1a-4811-bd53-902acc102de9,239.5,A
993375df-ad41-40c5-b454-967d437c1fe8,101.48,A
9a9be149-d07a-4cb1-af2c-d4615f62fe08,3.36,B
a64ee7b8-3db1-4788-8bc8-ff43fd4d0f9f,35.93,B
b02d116f-6c88-4fec-9d31-8ecc44757745,122.46,B
c02b5b38-3c74-407a-a22c-7399e81abab0,245.39000000000001,B
c0a162c8-a010-464f-b9df-3d1e5900f905,505.83,A
cc57e7c4-f030-4fc5-97a3-69b1ff839fe5,38.29,B
cc69321b-5fa9-4728-ba6d-cb73c5fc254d,47.870000000000005,B
d2f127d4-9e22-4af1-bfd4-fc89fd422f85,212.91,B
d61c002a-b1d6-4c3e-a4f8-75e920e943a5,42.1,unassigned
d6affa50-f8db-412a-b4e8-078af35332d3,30.74,B
d81125c8-890c-41c6-96de-73498ca1c66e,50.11,B
dfe20491-7f2d-49b0-b6ce-06ea8f905622,56.25,B
e0fc445c-421f-436d-9c30-101e55886380,97.85,B
e3b59f68-6252-4fa9-b38c-e095b0839eb7,1938.3,B
e493e865-ed84-412b-ab4a-8aa9917906e0,79.5,B
e9430dbd-a0ca-415a-8750-b50246be8fa4,69.14,B
ea76136b-fccd-4151-a1b4-b3aa54f70c28,154.85,A
eb0a8d11-aed0-4930-bc11-ffb744e9a312,51.11,A
ebc1de91-0c2b-44b2-9bfd-a0023836f27d,3.45,B
ee687cbc-a399-4fc9-afc9-1a362231b562,187.12,B
f0ae6c6f-e6dc-467f-bb45-4c85e470f528,96.02,B
f583c242-7379-425d-a687-bafaeae57288,77.99,A
id-1773100917089-9d9303ebd7e868,35.0,B
